	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-572	1.822884581	10.4014947	5.748174059	1.48E-06	3.11E-05	5.07784033
hsv1-miR-H7*	1.792798211	8.271494748	6.401299161	1.98E-07	7.84E-06	7.043750312
hsa-miR-940	1.436125924	9.319206795	3.567414336	0.001037087	0.004145271	-1.247450776
hsa-miR-134	1.374092217	9.894640984	5.158672807	9.11E-06	0.000113627	3.307504318
hsa-miR-193a-3p	1.239009784	7.740605401	4.967772073	1.64E-05	0.000174919	2.738814111
hsa-miR-720	1.209694079	14.3182968	3.332656323	0.001991656	0.007061115	-1.862931159
hsa-miR-663	1.204623667	10.20838192	3.76905839	0.000584548	0.002581592	-0.703199322
hsa-miR-4286	1.153809665	11.48168844	2.972261497	0.005228578	0.015826731	-2.763412669
hsa-miR-210	1.119400994	9.28130629	4.107776858	0.000218172	0.001175513	0.238471986
hsa-miR-1234	1.09746016	7.36669007	5.76803386	1.39E-06	3.02E-05	5.13767189
hsa-miR-638	1.094124428	14.34929946	5.030781198	1.35E-05	0.000154547	2.926149334
hsa-miR-4253	1.058160003	8.587079302	4.985975704	1.55E-05	0.000170339	2.792895757
hsa-miR-636	1.057373022	6.675026114	5.751933517	1.46E-06	3.11E-05	5.089166109
hsa-miR-877*	1.050457924	7.121900247	5.126247309	1.01E-05	0.000123247	3.210685415
hsa-miR-605	1.026378763	6.490020429	5.901109268	9.23E-07	2.30E-05	5.538650585
hsa-miR-1207-5p	1.020053982	13.42228517	3.597272413	0.00095335	0.00386796	-1.167721206
hsa-miR-1281	1.01831963	6.528084284	4.263287676	0.000137671	0.00085351	0.680570466
hsa-miR-3196	1.004290907	12.61539594	3.630624217	0.000867524	0.003578888	-1.078298755
hsa-miR-148a	0.970458338	10.14314299	5.777826092	1.35E-06	3.02E-05	5.167174378
hsa-miR-19a	0.966343982	9.736938932	4.988593175	1.54E-05	0.000170339	2.800674819
hsa-miR-96	0.963799413	7.402381643	3.877799153	0.000427215	0.002026265	-0.404376357
hsa-miR-212	0.932659946	7.442231011	8.568010859	3.10E-10	5.22E-08	13.35780277
hsa-miR-19b	0.90282764	11.29336153	4.198780742	0.000166732	0.000980736	0.496518705
hsa-miR-193b	0.862662226	10.42634002	3.901813801	0.000398482	0.001930773	-0.337917076
hsa-miR-3616-3p	0.857391259	9.319162398	4.186917057	0.000172696	0.001002678	0.462769791
hsa-miR-3937	0.850480537	8.83783446	5.585714895	2.44E-06	4.39E-05	4.588642738
hsa-miR-483-3p	0.826786635	8.791926828	3.238130348	0.002577112	0.008855534	-2.104632308
hsa-miR-548q	0.806958304	8.648750399	2.818672391	0.007768605	0.021620476	-3.128523583
hsa-miR-601	0.803941415	7.865856667	4.958316223	1.68E-05	0.000177241	2.710734856
hcmv-miR-UL70-3p	0.798893702	8.722342676	2.839066585	0.007374937	0.020869833	-3.080738065
hsa-miR-1307	0.769096557	6.155729823	5.855305672	1.06E-06	2.56E-05	5.400630979
hsa-miR-202	0.766958965	8.042275685	4.168875877	0.000182167	0.001041161	0.411509093
hbv-miR-B4	0.751540545	7.171291381	7.273021255	1.40E-08	1.04E-06	9.637192185
hsa-miR-3188	0.748368224	10.0820677	3.218579082	0.002717153	0.009265837	-2.154156173
hsa-miR-342-3p	0.744413978	8.686845885	3.755130866	0.000608372	0.002643473	-0.741214209
hsa-miR-564	0.718761498	11.09018568	3.941185178	0.000355393	0.001773016	-0.228608224
hsa-miR-3195	0.71219625	9.706870115	4.282666628	0.000129955	0.000817987	0.7360386
hsa-miR-142-3p	0.694288236	8.527388416	2.393860221	0.021973971	0.049496554	-4.070992573
hsa-miR-1226*	0.682053445	8.018591304	5.051813761	1.26E-05	0.000148144	2.988767066
hsa-miR-365	0.673325175	12.13740335	4.404448654	9.03E-05	0.000633622	1.086370043
hsa-miR-3659	0.667214889	7.115242092	4.373461277	9.91E-05	0.000685886	0.99694995
hcmv-miR-US33-5p	0.658577381	6.153470345	6.655999453	9.07E-08	4.21E-06	7.806672783
hsa-miR-933	0.657805226	5.832946745	4.109674409	0.000216956	0.001175513	0.243832611
hsa-miR-1825	0.646784586	6.294955019	4.959675455	1.68E-05	0.000177241	2.714770541
hsa-miR-3663-5p	0.631459136	6.019535178	5.702799561	1.70E-06	3.31E-05	4.941159226
hsa-miR-2861	0.628113873	14.06151462	3.393347172	0.001685274	0.006151933	-1.705830689
hsa-miR-664*	0.625873228	7.201576713	3.003111642	0.004823205	0.01479922	-2.688657095
hsa-miR-185	0.622308736	8.370524854	3.918962362	0.000379123	0.001863791	-0.290359634
hsa-miR-3648	0.615798993	8.156565146	4.815197231	2.61E-05	0.000238938	2.286944946
hsv2-miR-H10	0.602791461	12.41210485	3.121320716	0.003528136	0.011424036	-2.398035439
hsa-miR-1280	0.5620705	9.720342156	3.431918236	0.001514599	0.005635814	-1.605237868
hsa-miR-20a	0.557612889	11.61282629	5.545648081	2.77E-06	4.72E-05	4.468090336
hsa-miR-30e	0.556986816	9.178375099	2.790684807	0.008340828	0.022867305	-3.193744463
