logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-572	1.82288458126611	10.4014946967826	5.74817405901405	1.47972944855627e-06	3.11436807375828e-05	5.07784032994812
hsv1-miR-H7*	1.79279821050422	8.27149474833585	6.40129916124031	1.97787954450003e-07	7.83589337188689e-06	7.04375031167567
hsa-miR-940	1.43612592374639	9.31920679497273	3.56741433587325	0.00103708714557464	0.00414527117237103	-1.24745077609966
hsa-miR-134	1.37409221730101	9.8946409842974	5.15867280728051	9.11042042377265e-06	0.000113627188063164	3.30750431836923
hsa-miR-193a-3p	1.2390097835215	7.74060540072839	4.96777207332412	1.63621251671863e-05	0.000174918909525396	2.73881411146135
hsa-miR-720	1.20969407928925	14.3182968013562	3.3326563230526	0.00199165624304067	0.00706111526484229	-1.8629311593526
hsa-miR-663	1.2046236666226	10.2083819242723	3.76905838984596	0.000584547635414199	0.00258159234394402	-0.70319932174022
hsa-miR-4286	1.15380966459854	11.4816884370266	2.97226149718882	0.00522857845462355	0.0158267307379279	-2.76341266929305
hsa-miR-210	1.11940099363754	9.28130628976902	4.10777685837916	0.000218172473335438	0.00117551328633134	0.238471985684743
hsa-miR-1234	1.09746016034355	7.36669006976151	5.76803386016321	1.39171917836758e-06	3.02362215042117e-05	5.1376718903945
hsa-miR-638	1.09412442798803	14.349299455174	5.03078119787973	1.34902680682494e-05	0.000154547286626982	2.9261493338239
hsa-miR-4253	1.05816000277797	8.58707930215341	4.98597570429296	1.54752226132561e-05	0.000170338599191605	2.79289575696495
hsa-miR-636	1.05737302198045	6.6750261144022	5.75193351749481	1.46265224590258e-06	3.11436807375828e-05	5.08916610859115
hsa-miR-877*	1.05045792408626	7.12190024722485	5.12624730890414	1.00647463691027e-05	0.000123247394174375	3.21068541478357
hsa-miR-605	1.02637876279652	6.49002042856529	5.90110926758894	9.22867334222456e-07	2.30204129481046e-05	5.53865058514615
hsa-miR-1207-5p	1.02005398151267	13.4222851746021	3.59727241264744	0.000953350305393224	0.00386796042579721	-1.16772120616939
hsa-miR-1281	1.01831962992278	6.52808428408632	4.26328767587415	0.000137670916794727	0.000853509660128013	0.68057046608868
hsa-miR-3196	1.00429090723738	12.6153959427306	3.63062421706559	0.000867524247038675	0.0035788879167567	-1.07829875477998
hsa-miR-148a	0.970458337731834	10.1431429901223	5.77782609170387	1.35027157270413e-06	3.02362215042117e-05	5.16717437802074
hsa-miR-19a	0.96634398171445	9.73693893193721	4.98859317481785	1.5351681064543e-05	0.000170338599191605	2.80067481892672
hsa-miR-96	0.963799413084867	7.40238164306555	3.87779915259602	0.00042721548208659	0.0020262649801783	-0.404376357058595
hsa-miR-212	0.932659946387206	7.44223101050102	8.56801085935692	3.10183717708051e-10	5.22271834690931e-08	13.3578027706548
hsa-miR-19b	0.902827639562654	11.2933615323653	4.19878074217128	0.000166732344101084	0.000980735665957033	0.496518704747421
hsa-miR-193b	0.862662225871089	10.4263400195389	3.90181380072695	0.000398481740128851	0.00193077303580418	-0.337917075714178
hsa-miR-3616-3p	0.857391258604839	9.31916239809535	4.18691705677464	0.000172695912527215	0.00100267842316448	0.462769791180858
hsa-miR-3937	0.850480537008728	8.83783446000693	5.58571489472974	2.44354764544258e-06	4.38861157121487e-05	4.58864273821445
hsa-miR-483-3p	0.826786634906748	8.79192682843219	3.23813034763686	0.00257711158680715	0.00885553394752355	-2.10463230786237
hsa-miR-548q	0.806958303755934	8.64875039926108	2.81867239143192	0.00776860463954309	0.0216204761352573	-3.12852358300531
hsa-miR-601	0.803941415444224	7.86585666749372	4.95831622300199	1.68425371575632e-05	0.000177241387119044	2.71073485559205
hcmv-miR-UL70-3p	0.79889370184414	8.72234267631932	2.83906658476811	0.00737493723952391	0.0208698329026023	-3.08073806532881
hsa-miR-1307	0.769096556715589	6.15572982283498	5.85530567247136	1.06301275551168e-06	2.55692532441828e-05	5.40063097879426
hsa-miR-202	0.766958964883086	8.04227568458598	4.16887587720364	0.000182167040620837	0.00104116146052266	0.411509093143255
hbv-miR-B4	0.751540544764214	7.17129138144565	7.27302125473879	1.39586734846418e-08	1.04457406576736e-06	9.63719218456593
hsa-miR-3188	0.748368223934163	10.0820676957305	3.21857908240077	0.00271715331312338	0.00926583674120808	-2.15415617343431
hsa-miR-342-3p	0.744413977786804	8.68684588500493	3.75513086559112	0.000608371710481009	0.00264347320650942	-0.741214209080831
hsa-miR-564	0.718761497541324	11.0901856842508	3.94118517807763	0.000355392871491059	0.00177301554777206	-0.228608224192243
hsa-miR-3195	0.712196250352212	9.70687011462161	4.28266662813805	0.000129954913955149	0.000817987238773767	0.73603859993127
hsa-miR-142-3p	0.694288236384956	8.52738841597409	2.39386022077364	0.0219739711397001	0.0494965537210302	-4.07099257339295
hsa-miR-1226*	0.682053445398321	8.01859130350502	5.05181376120886	1.26477872997033e-05	0.000148144082545221	2.9887670659079
hsa-miR-365	0.673325175409063	12.1374033486708	4.40444865394035	9.03157631807929e-05	0.00063362152606525	1.08637004313698
hsa-miR-3659	0.667214888509131	7.11524209188474	4.37346127722803	9.90993489319896e-05	0.000685885974173662	0.996949949978941
hcmv-miR-US33-5p	0.658577381417548	6.15347034544624	6.65599945257335	9.06604754462944e-08	4.21102277331581e-06	7.80667278286346
hsa-miR-933	0.657805226477885	5.83294674476425	4.10967440881329	0.000216956151165658	0.00117551328633134	0.24383261057997
hsa-miR-1825	0.64678458588748	6.29495501907718	4.95967545510205	1.67726288882341e-05	0.000177241387119044	2.71477054133275
hsa-miR-3663-5p	0.631459136208528	6.0195351775702	5.70279956072821	1.70226773957992e-06	3.30861060671128e-05	4.9411592262208
hsa-miR-2861	0.6281138726428	14.0615146185622	3.39334717209653	0.00168527350479604	0.00615193336303594	-1.70583068927933
hsa-miR-664*	0.625873228485242	7.20157671263858	3.00311164167499	0.00482320546726221	0.0147992204200506	-2.68865709507465
hsa-miR-185	0.622308736469144	8.37052485415086	3.91896236222374	0.000379122943712715	0.00186379052985776	-0.290359633871847
