logFC	AveExpr	t	P.Value	adj.P.Val	B
HBD	-1.11953522450528	7.59253458300491	-4.34886834837073	3.4917850347256e-05	0.0025130642352262	2.1119957695599
MXRA5	-0.838695270347474	8.09092842505245	-4.35482988122049	3.41379805083535e-05	0.00249300188379418	2.13279044636891
LYZ	-0.836310151730682	8.92270025581482	-3.22851137169905	0.00171836073209832	0.0331617714435503	-1.43299799470066
CA1	-0.81824694514848	7.00197985749456	-3.99602190163334	0.000128640062196456	0.00610086029075834	0.915175870274433
IFIT1L	-0.748872200872176	7.11986977496963	-3.79113061734652	0.000265906039584093	0.0099166837247316	0.25248799113777
ACTG1	-0.744300345821232	11.3632277732932	-4.64907312540325	1.09561038674011e-05	0.00118457447645702	3.18139345788807
HLA-DRA	-0.690328297941541	9.16647228830106	-3.51031884207983	0.000691409045524799	0.0180039697565993	-0.614326135253235
HLA-DPA1	-0.684559470719543	8.56160001349512	-3.73353677788903	0.000324711228512834	0.011369050040704	0.0707164030107768
SNCA	-0.683176152482872	8.38111502325707	-3.67725690078123	0.00039397898268311	0.0126967207833745	-0.104946103505987
RAC2	-0.681578803634989	8.19330831458269	-5.04698529736212	2.2115725671748e-06	0.000419046238928235	4.66400814238025
F13A1	-0.672947859331591	9.64747614524793	-5.44131202245243	4.2470564385505e-07	0.000153730951733062	6.19822653203544
JAK1	-0.669288322800544	7.09679082738494	-6.15034452925405	1.90763894012546e-08	2.14972403457905e-05	9.09222776711196
LOC399942	-0.656770008194732	7.7733069114099	-4.32388077996962	3.83777620054295e-05	0.00265345571348775	2.02503659573826
APLN	-0.656585204375037	7.54342315411794	-3.85470996383547	0.000212802127251235	0.00848932181549742	0.455474505435639
HLA-DRB4	-0.652369965002136	8.19104652050712	-3.22038467837436	0.00176275018686199	0.0337915366817921	-1.45581208052455
LCP1	-0.645232646892822	9.87655487113235	-5.40346172102026	4.98865942606313e-07	0.000159571150126349	6.04839760939794
SERPINB2	-0.644053230457027	10.5946826414693	-4.00404704540746	0.000124973248824148	0.00597299329428654	0.941629541852726
ZFAND6	-0.623018958832983	7.74593554841061	-6.04284666522778	3.08400498250209e-08	2.88855861327726e-05	8.64370831490395
ACTA2	-0.618668519623832	12.0132781144774	-4.22467524545361	5.5669740915017e-05	0.0033502567307634	1.68303482578137
OPN3	-0.617303999962514	7.91793336354316	-6.25924326705024	1.16883696551432e-08	2.01090903462101e-05	9.54973680477117
KRT80	-0.612933422142202	9.5757762592787	-5.60991171708211	2.0609242775824e-07	9.57124342800248e-05	6.87178149756876
VSIG4	-0.604897958746919	8.05992788102968	-4.35941994842476	3.35490015900307e-05	0.00249300188379418	2.14881380196814
BPGM	-0.595464082831905	8.64383404019068	-3.83433698842142	0.000228606276116852	0.00890334632965222	0.390167455307894
TYROBP	-0.592174845562067	10.4022231814223	-4.61785604325987	1.2384388427898e-05	0.00128619973318262	3.0681321796216
PCOLCE	-0.57900878188061	7.71442986098354	-4.27751521778705	4.56931932986246e-05	0.00295194818858883	1.86454635884069
LCP2	-0.576785249620545	7.86808128356837	-4.57083022486711	1.48822616577124e-05	0.00145361900175767	2.89839572715422
LOC644774	-0.576623016014903	8.43505528979566	-4.65002769091522	1.09150494816686e-05	0.00118457447645702	3.18486409546652
SPP1	-0.572795254872306	11.5600115507381	-3.73663556085715	0.000321255170049081	0.0112801351720229	0.0804450074591365
FCER1G	-0.568502025876001	9.05341434982762	-4.08797505960862	9.21628415043482e-05	0.00478585692149373	1.22047507870035
EPB42	-0.568370614596481	7.16892775236328	-3.36398749153678	0.00111622849176589	0.0248255129486171	-1.04604466751158
CXCL14	-0.562835055019456	7.31852581848349	-3.65600334026849	0.000423617990888426	0.0132442261409661	-0.170773255506371
DCN	-0.561103610400773	9.78215433088461	-3.3242609026398	0.00126829739194062	0.0272407260080509	-1.1608003944706
SLC45A4	-0.560994586477068	7.74748245431526	-4.36073899754462	3.33815685343034e-05	0.00249300188379418	2.15342045575899
CCDC3	-0.556340220102567	7.74211006053505	-4.50868635981213	1.89415759652099e-05	0.00172677018817658	2.67574134347603
PLTP	-0.550580271999101	9.51627498894991	-4.29159429562495	4.33404601871921e-05	0.00286000559530173	1.9131601193093
F5	-0.535769878685402	9.38078298590113	-3.14844635948557	0.00220509447976027	0.0393305764672604	-1.65577116205791
GCLM	-0.534881666332088	8.03699639316976	-5.47966440770212	3.60608758029977e-07	0.000134485211668937	6.35056882543747
CD74	-0.530395181755676	8.68353950633402	-3.08528635392136	0.00267659935303771	0.0447262840975358	-1.82834706878671
RRAS2	-0.528697667632656	8.60004843856652	-5.04493869142613	2.23023715363609e-06	0.000419046238928235	4.65620633547126
CLEC1A	-0.526796747824902	9.35436735567334	-4.84088942490549	5.10983487654694e-06	0.000757002303323351	3.88730480269542
WAS	-0.52385900398057	8.46643299978887	-4.3491078258348	3.48861938921872e-05	0.0025130642352262	2.11283074577273
SLC7A1	-0.523557267753365	8.67447841706854	-3.16042860779091	0.0021248734655188	0.0383162164690693	-1.62271526026638
IFITM2	-0.523118351200379	11.8612206919025	-4.09690225315236	8.9205173639591e-05	0.00470170480506401	1.25036817694245
GNPDA1	-0.522468596081058	9.28483355412673	-5.0454500686527	2.22555915709554e-06	0.000419046238928235	4.65815557852601
IDH1	-0.521841791550221	7.2857064282717	-5.03676403321011	2.30633293467825e-06	0.000423642379508734	4.62506134376904
MAPRE2	-0.516367775731944	8.11511130224956	-4.59709796149578	1.34323835100833e-05	0.00136059542270449	2.99307593017771
SRPX	-0.515545687968778	9.17272531689836	-3.80941215516881	0.000249466001867129	0.00953471454962345	0.310606290483523
FOLR2	-0.513365280776766	8.4543233717824	-3.36341798045846	0.00111828202011092	0.0248424130352077	-1.04769724834512
DKFZp761P0423	-0.512832391571376	9.55386783403694	-5.28782102174142	8.1303585221077e-07	0.000212894302833148	5.59391102410472
RHOG	-0.509753395674091	9.84610862760576	-4.0887914752191	9.18884929412526e-05	0.00478585692149373	1.22320703457435
ALDH1A1	-0.507342545377584	7.04897731436739	-3.26591983358472	0.00152717546567671	0.0306642809951805	-1.32739644558493
LOC643031	-0.505756678396015	12.5430038761847	-3.61412556576728	0.00048831759737901	0.0145303303162656	-0.299651939366507
NID1	-0.503197016126474	6.7449922158195	-3.41674696671316	0.000940632995927075	0.022150220454984	-0.89201368530796
GULP1	-0.499340226091112	8.03480235563032	-3.1634324789083	0.00210519329293167	0.0380170416083788	-1.6144126444322
SPON1	-0.498881356553579	7.98903576893438	-3.72273981256893	0.000337031295976001	0.011604203863391	0.0368653837996913
LIPA	-0.498773607712495	9.96190386009916	-5.41786272263815	4.69263782712737e-07	0.000159571150126349	6.10534216003612
VTN	-0.498401886616261	6.75916484802571	-3.7453055370529	0.000311770483755116	0.0110416096217963	0.107695532393996
LOC731777	-0.496107131646422	7.41777227658083	-4.6191989974303	1.23193893633592e-05	0.00128487054995646	3.07299509597647
CNIH	-0.49457121668911	7.88284084504276	-6.11045533017296	2.28072245251146e-08	2.33907093525488e-05	8.92542761017918
KIAA1949	-0.486181664871273	8.51411686298776	-4.79460539843255	6.15165341241953e-06	0.000843210502494418	3.71543312219824
TLR3	-0.485272416764183	7.60504286457682	-3.40296841861714	0.000983798062500314	0.0227586517954725	-0.932418223338079
MAP4K3	-0.484225395722042	7.38778224846849	-4.54363061543	1.6542997992234e-05	0.00157825330457693	2.80070975664121
G6PC3	-0.479794043440359	9.62668529597904	-3.4767908052749	0.000772514138680919	0.0192261506668272	-0.714481943280276
B3GNT2	-0.479181247940518	6.45415732439974	-5.57518586760415	2.39382236455448e-07	9.98670231883795e-05	6.73224738678747
PDLIM1	-0.478485249852376	9.45329952364293	-5.16486068865614	1.35906082123137e-06	0.000296034717290169	5.11625528703866
UCP2	-0.473543040719004	7.85454264208514	-3.44537334699611	0.000856588176502193	0.0207022288374448	-0.807668840820565
LOC648024	-0.472099785909785	8.77107121353959	-4.5143543327029	1.85308672407958e-05	0.00170193569501847	2.6959703827514
LOC652826	-0.469128582582941	7.19246074227023	-4.63511110517403	1.15739809514831e-05	0.00121744430401627	3.13067934459994
PSMC4	-0.468421067241953	8.18256848379758	-4.24925719579331	5.07921711525551e-05	0.00317209325695092	1.76729131350479
SLC16A4	-0.462188664535976	8.71976410575683	-4.07866429412348	9.53477535121624e-05	0.00488935334364243	1.18934499475622
TGFBI	-0.460366525349745	11.1698615403058	-3.9278104164204	0.000164248303069538	0.00714276984408766	0.691823524081285
OLFML3	-0.459504278481235	8.00195917158262	-3.49830589766239	0.000719497270578874	0.0184476102271129	-0.650295294037282
UBB	-0.458958875158578	12.3892774807049	-6.21310737592566	1.4389726039145e-08	2.01090903462101e-05	9.35553290528795
CAMP	-0.458147013260813	6.24803201715694	-3.48909970077894	0.000741748252624377	0.0187793691118388	-0.677797223842257
NDN	-0.457349893927173	9.02877808548416	-3.74058333100922	0.000316902894358936	0.0111564111572404	0.0928475109231224
ZMAT3	-0.456345840557121	7.91753639682701	-4.39584512818157	2.92104036749721e-05	0.00226809109165856	2.27635484309818
SNAI2	-0.455416349162526	6.48311391510354	-6.4906268010214	4.08625078788689e-09	1.11870032726405e-05	10.531622129235
GIYD2	-0.454927759117469	6.80970273918476	-5.5833092016752	2.31150948755115e-07	9.88023886446582e-05	6.76485156181448
GNG12	-0.452021030359209	6.96835431703989	-4.72037140481314	8.26750321113116e-06	0.00101748162019391	3.44180122106699
HS3ST3A1	-0.451584150934116	7.65543026080259	-4.39120804190269	2.97310259468967e-05	0.00229404223403422	2.26008042907437
LOC341457	-0.450187458972918	11.8786456904797	-3.1999647495329	0.00187905910535126	0.0351152125928543	-1.51293597115489
SLC7A7	-0.448877684715167	8.08989900282034	-4.70088647142055	8.93085353793282e-06	0.00107180285194928	3.37039888562648
BBOX1	-0.447494716154168	7.21590039790318	-3.42119390834371	0.000927086604385085	0.0219627619637483	-0.878946602286756
ARF4	-0.445049333807233	9.74511463936417	-4.37527835975405	3.15886467472836e-05	0.00240719179887814	2.20425733993094
CDKAL1	-0.443614951411091	6.6196290297456	-5.45147202783885	4.06712824294667e-07	0.00014941536503267	6.23853260099799
SOX18	-0.44174174388381	10.0179602134764	-3.58660129782573	0.000535827026400075	0.0154075308736115	-0.383756309822376
METTL7B	-0.441176403476588	6.62460016883105	-3.62209565340536	0.000475323761543996	0.0143377684640244	-0.275208874695206
OSBP2	-0.438832525104486	6.63701711182638	-4.13213585233538	7.83970289299226e-05	0.00432660195085452	1.3687818371771
CCND2	-0.437085175133634	8.50893312845243	-3.22847406403133	0.00171856210525006	0.0331617714435503	-1.43310283247316
C18orf10	-0.436762244335902	7.11685622371914	-3.57811898337838	0.000551329191233069	0.0156883430208217	-0.409578483394498
C5orf13	-0.431455801811413	9.24475721384941	-3.88274702741001	0.000192748966460217	0.00788093531636506	0.545752184955215
UBE2G1	-0.431229734583653	7.35860100637553	-5.51858229377419	3.05284409983421e-07	0.000120563859979889	6.50569057385436
IMP3	-0.429834058003951	9.7386214437046	-4.54883197499216	1.62121262870662e-05	0.00155877061105409	2.81936224756091
RAB2B	-0.42843738815303	9.05084610807405	-5.31879485094298	7.13683470537435e-07	0.000193039614767126	5.71515220529575
DNAJA4	-0.427140490339685	7.27706055061637	-3.97957977254064	0.000136477067882335	0.0063864800307085	0.861092122676899
VIM	-0.424522971277817	11.999540759927	-3.52148449523643	0.000666233235273018	0.0177091413099461	-0.5808103290997
MTSS1	-0.423381043378317	7.16771660530071	-4.94874591320306	3.30403924426543e-06	0.000545809543344626	4.29149886814681
RPS4X	-0.422658949434121	11.3558069349451	-4.31491839065319	3.9697516133167e-05	0.00269921177376181	1.99392600821165
CLIP3	-0.422313369620814	8.18797150763905	-3.37952122168724	0.00106156470981865	0.0240380439443204	-1.00088616545338
MANSC1	-0.422269134505652	6.57649159309323	-5.73833034621075	1.18045827280018e-07	5.92975508708239e-05	7.39127389241061
TCF21	-0.421334179161923	8.47930456215455	-3.80739709677128	0.000251229432696275	0.00954784041661728	0.304190413132338
ZEB2	-0.420288919300886	7.67885719026309	-4.36071981206802	3.33839980467978e-05	0.00249300188379418	2.15335344585465
RNASE1	-0.420072271498901	11.8959020683807	-3.76476445976881	0.000291443600407663	0.0105453387204265	0.16902365706079
PCDH18	-0.417979188707363	7.71602381125895	-3.23988319879858	0.00165799705837223	0.032235339332365	-1.40099758657869
DPYSL3	-0.416944997495662	8.19354922158124	-3.41165671200661	0.000956367699145208	0.0224190805207239	-0.906955084267579
LOC388588	-0.415801374947755	7.81340752651708	-3.60749988535274	0.000499375100899886	0.0147116049913803	-0.31994142791056
