logFC	AveExpr	t	P.Value	adj.P.Val	B
LEP	2.21169271700513	10.6906043928385	4.57489350919775	1.46484666793076e-05	0.00143648350137242	2.91301971291603
FSTL3	1.25987155947782	10.9253464072637	3.83919158083031	0.000224741819167471	0.00882263977191089	0.405706760684801
LHB	1.24345188833729	11.0608774937123	3.21530335202673	0.00179104715469639	0.0341742904385248	-1.47005378049183
HBD	-1.11953522450528	7.59253458300491	-4.34886834837073	3.4917850347256e-05	0.0025130642352262	2.1119957695599
HTRA4	1.09204784376243	6.80167815624551	5.25518692015256	9.32344728798687e-07	0.000231958455944293	5.46656681721149
NUCB2	1.04822443940541	9.47721988742143	3.41995867539136	0.000930830866514961	0.0219879759581567	-0.882577572038129
GADD45G	0.974150459401592	9.27529946803001	3.34354798082684	0.00119219101355224	0.0260840796511776	-1.10521924968715
UBC	0.974044376658082	11.1175088812321	0.939845935346727	0.349724877099271	0.695659585602475	-5.79711384471635
CGB5	0.961500836696011	10.7944161582395	2.53256194439621	0.0129940638471174	0.124063571579886	-3.21401167266456
ZNF14	0.954078943008696	11.4806640247345	1.84722483247937	0.0678855379231574	0.320225111238136	-4.5968941290829
CGB8	0.950195290951074	10.6097715821783	2.51918018445619	0.0134648975345352	0.126934120227901	-3.24467663737469
ENG	0.93191419864454	10.7333988554395	5.61772142575773	1.99256504204474e-07	9.43172998940179e-05	6.90321833869192
INHA	0.910452028758002	8.94415564116182	4.84397458618225	5.04685393950617e-06	0.00075286825980003	3.89879536919397
PAPPA2	0.908606537680669	7.77608238946978	4.78021128274782	6.51582429012686e-06	0.000857649727685468	3.66217868352403
LMOD3	0.902768725076239	9.85431361246896	1.78490164684337	0.0775291282837621	0.344148235090446	-4.70298853215527
RDH13	0.902251937301287	9.43476671470134	5.38840375189069	5.31774430454702e-07	0.000165684757357114	5.98893626538871
USP49	0.901335157085576	10.3630429788039	2.04089592197712	0.0440878101302047	0.254459757207314	-4.24581609156327
C7orf38	0.894179498542542	11.5156657803048	1.84802635119281	0.0677683592728927	0.320040367448768	-4.5955076820217
RPS4Y1	-0.885454885641635	7.8616166637997	-1.30277888821562	0.195858459124122	0.544237989713382	-5.40720916458243
LOC728358	-0.870860143371348	7.45427647021006	-2.78507144315915	0.00648163824719007	0.0778619052300324	-2.60936485928882
PNCK	0.843492093641149	7.57044533845765	3.64919599091718	0.000433550196619426	0.0134062871100384	-0.191797638116702
MEG3	0.842449357188261	8.61946350054559	5.03759483782427	2.29848501009385e-06	0.000423642379508734	4.62822539215197
CFB	0.840775210616805	9.64728340549317	4.91370575981558	3.80893065204229e-06	0.000605687493588324	4.1596281563446
MXRA5	-0.838695270347474	8.09092842505245	-4.35482988122049	3.41379805083535e-05	0.00249300188379418	2.13279044636891
LYZ	-0.836310151730682	8.92270025581482	-3.22851137169905	0.00171836073209832	0.0331617714435503	-1.43299799470066
CA1	-0.81824694514848	7.00197985749456	-3.99602190163334	0.000128640062196456	0.00610086029075834	0.915175870274433
LRRFIP1	0.804027409220584	9.18047574592372	2.66018946615083	0.00919432666377627	0.0988681330284793	-2.91452507162469
TDRD1	0.771817670148769	8.71164331585324	2.05188880830109	0.0429841623452398	0.251070757466951	-4.22492919014614
CLDN1	-0.764477369405633	9.3709310611989	-2.90450188788206	0.00459275815701264	0.062650118633129	-2.30656201581403
IFIT1L	-0.748872200872176	7.11986977496963	-3.79113061734652	0.000265906039584093	0.0099166837247316	0.25248799113777
C6orf60	0.747786695823951	7.95248190175037	5.29773228664004	7.7985562078286e-07	0.000208645285325536	5.63266719486308
HK2	0.746848663128262	6.90966311959816	3.46804451911489	0.00079510263712589	0.0196492533235107	-0.740488934287879
ACTG1	-0.744300345821232	11.3632277732932	-4.64907312540325	1.09561038674011e-05	0.00118457447645702	3.18139345788807
MCART1	0.73595437241528	11.7938632783958	1.84619106187855	0.0680369208151753	0.32054971573339	-4.59868149671562
ERAF	-0.732217031478894	8.7540113598304	-3.00581365339294	0.00340283743351241	0.0520555876870568	-2.04147351958279
DKFZp564K142	0.730797048114068	10.511042591767	2.0170401857807	0.04656669412212	0.262948522395472	-4.29079099527342
FLJ43855	0.727836260837481	8.31435747977548	4.61082792943892	1.2730009623406e-05	0.00131653973475006	3.04269704941969
MGC16121	0.726937899385529	9.37922143343206	3.66176948963165	0.000415374188293378	0.0131488560603947	-0.152941975074677
GAPDH	0.72454027806857	9.99691482597542	1.37109310109328	0.17363681670569	0.516032577423226	-5.32018253756262
ANGPT2	0.72404207377614	9.11632078184686	2.39304093252411	0.018713334190054	0.15420489044325	-3.52676133748006
INSL4	0.710956126051315	9.22943621100876	3.47992836269239	0.000764559517992711	0.0191054497216981	-0.705140305419351
ACAD11	0.705466750764951	8.03059152429547	5.12074712466165	1.63177792439172e-06	0.000337517494377965	4.94634564477126
TNFRSF25	0.705025818149517	7.84294528031997	5.04008186230496	2.27514753529193e-06	0.000423642379508734	4.63769873205146
HMHA1	0.697203644041803	7.03624310753531	4.51516770494122	1.84726409886563e-05	0.00170193569501847	2.69887461738388
HLA-DRA	-0.690328297941541	9.16647228830106	-3.51031884207983	0.000691409045524799	0.0180039697565993	-0.614326135253235
HLA-DPA1	-0.684559470719543	8.56160001349512	-3.73353677788903	0.000324711228512834	0.011369050040704	0.0707164030107768
SNCA	-0.683176152482872	8.38111502325707	-3.67725690078123	0.00039397898268311	0.0126967207833745	-0.104946103505987
LOC648852	0.682761724878359	7.69698573200437	2.02085377061991	0.0461625881803814	0.261386230842399	-4.28363369276403
RAC2	-0.681578803634989	8.19330831458269	-5.04698529736212	2.2115725671748e-06	0.000419046238928235	4.66400814238025
LOC440704	0.679738812538373	9.68991659813543	1.765202634222	0.080803548759901	0.352753226768358	-4.7358177613353
ZNF786	0.679372722078698	9.02682135787173	2.2284416632286	0.0282544818367268	0.198531491843903	-3.87559163955374
DNAJC3	0.674965358365925	7.16591336956178	5.95845355750073	4.48630453938943e-08	3.45080937289161e-05	8.29385263892656
F13A1	-0.672947859331591	9.64747614524793	-5.44131202245243	4.2470564385505e-07	0.000153730951733062	6.19822653203544
JAK1	-0.669288322800544	7.09679082738494	-6.15034452925405	1.90763894012546e-08	2.14972403457905e-05	9.09222776711196
